method,dataset,dimensions,hits@5,hits@25,hits@50,time,device
dothash,restaurant,100,0.945945946,0.954954955,0.972972973,0.001479206,cpu
dothash,restaurant,200,0.954954955,0.981981982,0.981981982,0.001675965,cpu
dothash,restaurant,300,0.954954955,0.981981982,0.981981982,0.002310948,cpu
simhash,restaurant,100,0.495495495,0.720720721,0.738738739,0.001926361,cpu
simhash,restaurant,200,0.513513514,0.675675676,0.765765766,0.002906411,cpu
simhash,restaurant,300,0.585585586,0.684684685,0.72972973,0.003784837,cpu
minhash,cddb,100,0.874509804,0.890196078,0.890196078,0.018345193,cpu
minhash,cddb,200,0.858823529,0.890196078,0.898039216,0.028931934,cpu
minhash,cddb,300,0.874509804,0.898039216,0.901960784,0.033612669,cpu
minhash,restaurant,100,0.900900901,0.963963964,0.972972973,0.001569246,cpu
minhash,restaurant,200,0.927927928,0.972972973,0.972972973,0.002164565,cpu
minhash,restaurant,300,0.954954955,0.972972973,0.972972973,0.00386493,cpu
dothash,cddb,300,0.835294118,0.88627451,0.894117647,0.034241828,cpu
dothash,cddb,400,0.850980392,0.894117647,0.894117647,0.038423773,cpu
dothash,cddb,800,0.882352941,0.901960784,0.905882353,0.054220836,cpu
simhash,cddb,100,0.305882353,0.388235294,0.42745098,0.02129431,cpu
simhash,cddb,200,0.411764706,0.509803922,0.552941176,0.035302201,cpu
simhash,cddb,300,0.482352941,0.521568627,0.552941176,0.047952334,cpu
